"filename", "language", "JSON", "JavaScript", "HTML", "CSS", "Markdown", "XML", "JavaScript JSX", "MS SQL", "comment", "blank", "total"
"e:\coursework\ecosort-frontend\src\redux\features\discount\discountSlice.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 1, 5, 47
"e:\coursework\ecosort-frontend\src\redux\features\mark\markSlice.js", "JavaScript", 0, 121, 0, 0, 0, 0, 0, 0, 8, 12, 141
"e:\coursework\ecosort-frontend\src\redux\features\point\pointSlice.js", "JavaScript", 0, 149, 0, 0, 0, 0, 0, 0, 5, 13, 167
"e:\coursework\ecosort-frontend\src\redux\features\point_mark\point_markSlice.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 1, 5, 45
"e:\coursework\ecosort-frontend\src\redux\features\promo_code\promo_codeSlice.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 7, 7, 82
"e:\coursework\ecosort-frontend\src\redux\features\reception\receptionSlice.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 3, 5, 51
"e:\coursework\ecosort-frontend\src\redux\features\secretkey\secretkeySlice.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 2, 5, 48
"e:\coursework\ecosort-frontend\src\redux\features\user\userSlice.js", "JavaScript", 0, 116, 0, 0, 0, 0, 0, 0, 4, 11, 131
"e:\coursework\ecosort-frontend\src\redux\features\weight\weightSlice.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 3, 5, 54
"e:\coursework\ecosort-frontend\src\redux\store.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"e:\coursework\ecosort-frontend\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\coursework\ecosort-frontend\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"e:\coursework\ecosort-frontend\src\utils\axios.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"e:\coursework\ecosort-frontend\tailwind.config.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 2, 0, 21
"e:\coursework\stuff\DB.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 140, 12, 5, 157
"e:\coursework\stuff\мое\bd_Trubach.html", "HTML", 0, 0, 11, 0, 0, 0, 0, 0, 1, 1, 13
"e:\coursework\stuff\мое\use_case_Trubach.drawio.html", "HTML", 0, 0, 11, 0, 0, 0, 0, 0, 1, 1, 13
"Total", "-", 23389, 3760, 42, 108, 38, 110, 3173, 140, 2008, 1155, 33923
